EmployeeNr;givenName;lastName;location;EmployeeType;Function;Department ID;departmentalHead;mailAddress;privateNumber
tJesse;Twyla;Jesse;Munich;Internal;Accounting_EU;111;N;tJesse@democompany.com;
tWeatherbee;Tyree;Weatherbee;Munich;Internal;Accounting_EU;111;N;tWeatherbee@democompany.com;
vMason;Valarie;Mason;Munich;Internal;Accounting_EU;111;N;vMason@democompany.com;
vGillon;Valentina;Gillon;Munich;Internal;Accounting_EU;111;N;vGillon@democompany.com;
vHagley;Valentina;Hagley;Munich;Internal;Accounting_EU;111;N;vHagley@democompany.com;
vKudron;Vashti;Kudron;Munich;Internal;Accounting_EU;111;N;vKudron@democompany.com;
vNeuenswander;Vashti;Neuenswander;Munich;Internal;Accounting_EU;111;N;vNeuenswander@democompany.com;
vTrojak;Vashti;Trojak;Munich;Internal;Accounting_EU;111;N;vTrojak@democompany.com;
vDowlin;Vasiliki;Dowlin;Munich;Internal;Accounting_EU;111;N;vDowlin@democompany.com;
vMartine;Vasiliki;Martine;Munich;Internal;Accounting_EU;111;N;vMartine@democompany.com;
wKrapfl;Williams;Krapfl;Munich;Internal;Accounting_EU;111;N;wKrapfl@democompany.com;
xEskin;Xiao;Eskin;Munich;Internal;Accounting_EU;111;N;xEskin@democompany.com;
xGrates;Xiao;Grates;Munich;Internal;Accounting_EU;111;N;xGrates@democompany.com;
yOlivid;Yasmin;Olivid;Munich;Trainee;Accounting_EU;111;N;yOlivid@democompany.com;
yMacmillen;Yoshie;Macmillen;Munich;Trainee;Accounting_EU;111;N;yMacmillen@democompany.com;
zFenty;Zula;Fenty;Munich;Trainee;Accounting_EU;111;N;zFenty@democompany.com;
cLuptak;Chris;Luptak;Munich;Internal;Accounting_World;111;N;cLuptak@democompany.com;
cBoos;Cindie;Boos;Munich;Internal;Accounting_World;111;N;cBoos@democompany.com;
cBush;Clementina;Bush;Munich;Internal;Accounting_World;111;N;cBush@democompany.com;
cKern;Cody;Kern;Munich;Internal;Accounting_World;111;N;cKern@democompany.com;
cHummer;Concetta;Hummer;Munich;Internal;Accounting_World;111;N;cHummer@democompany.com;
cKern1;Curt;Kern;Munich;Internal;Accounting_World;111;N;cKern1@democompany.com;
cWoollard;Cyrus;Woollard;Munich;Internal;Accounting_World;111;N;cWoollard@democompany.com;
dBarnes;Danial;Barnes;Munich;Internal;Accounting_World;111;N;dBarnes@democompany.com;
dBouch;Danika;Bouch;Munich;Internal;Accounting_World;111;Y;dBouch@democompany.com;151 489356
dGosser;Danika;Gosser;Munich;Internal;Accounting_World;111;N;dGosser@democompany.com;
dBryant;Darwin;Bryant;Munich;Internal;Accounting_World;111;N;dBryant@democompany.com;
dSewall;David;Sewall;Munich;Internal;Accounting_World;111;N;dSewall@democompany.com;
dHardaway;Despina;Hardaway;Munich;Internal;Accounting_World;111;N;dHardaway@democompany.com;
dFiorino;Dulcie;Fiorino;Munich;Internal;Accounting_World;111;N;dFiorino@democompany.com;
dMadrano;Dulcie;Madrano;Munich;Internal;Accounting_World;111;N;dMadrano@democompany.com;
dMajercin;Dung;Majercin;Munich;Internal;Accounting_World;111;N;dMajercin@democompany.com;
eLighty;Eleanor;Lighty;Munich;Internal;Accounting_World;111;N;eLighty@democompany.com;
eJorrisch;Elicia;Jorrisch;Munich;Internal;Accounting_World;111;N;eJorrisch@democompany.com;
jMelcer;Julene;Melcer;Munich;Internal;Accounting_World;111;N;jMelcer@democompany.com;
jJordan;Julieta;Jordan;Munich;Internal;Accounting_World;111;N;jJordan@democompany.com;
kPotter;Kassie;Potter;Munich;Internal;Accounting_World;111;N;kPotter@democompany.com;
kBricknell;Kathline;Bricknell;Munich;Internal;Accounting_World;111;N;kBricknell@democompany.com;
kKrucker;Kendal;Krucker;Munich;Internal;Accounting_World;111;N;kKrucker@democompany.com;
kScheer;Kendal;Scheer;Munich;Internal;Accounting_World;111;N;kScheer@democompany.com;
kSwift;Kenneth;Swift;Munich;Internal;Accounting_World;111;N;kSwift@democompany.com;
kJorrisch;Kins;Jorrisch;Munich;Internal;Accounting_World;111;N;kJorrisch@democompany.com;
kWhite;Kraig;White;Munich;Internal;Accounting_World;111;N;kWhite@democompany.com;
lMacmillen;Lai;Macmillen;Munich;Internal;Accounting_World;111;N;lMacmillen@democompany.com;
lAdjei;Lamonica;Adjei;Munich;Internal;Accounting_World;111;N;lAdjei@democompany.com;
lIzaguirre;Laverna;Izaguirre;Munich;Internal;Accounting_World;111;N;lIzaguirre@democompany.com;
lFisher;Lavina;Fisher;Munich;Internal;Accounting_World;111;N;lFisher@democompany.com;
lBendell;Lawhon;Bendell;Munich;Internal;Accounting_World;111;N;lBendell@democompany.com;
pHanek;Patrina;Hanek;Munich;Internal;Accounting_World;111;N;pHanek@democompany.com;
pBester;Peg;Bester;Munich;Internal;Accounting_World;111;N;pBester@democompany.com;
pReeves;Percy;Reeves;Munich;Internal;Accounting_World;111;N;pReeves@democompany.com;
pChittam;Ping;Chittam;Munich;Internal;Accounting_World;111;N;pChittam@democompany.com;
rMiller;Rachele;Miller;Munich;Internal;Accounting_World;111;N;rMiller@democompany.com;
rRieg;Raleigh;Rieg;Munich;Internal;Accounting_World;111;N;rRieg@democompany.com;
rLagerquist;Raymond;Lagerquist;Munich;Internal;Accounting_World;111;N;rLagerquist@democompany.com;
rCisar;Regine;Cisar;Munich;Internal;Accounting_World;111;N;rCisar@democompany.com;
rStocks;Regine;Stocks;Munich;Internal;Accounting_World;111;N;rStocks@democompany.com;
rWeith;Reginia;Weith;Munich;Internal;Accounting_World;111;N;rWeith@democompany.com;
rFisher;Reva;Fisher;Munich;Internal;Accounting_World;111;N;rFisher@democompany.com;
rVandebogart;Rhonda;Vandebogart;Munich;Internal;Accounting_World;111;N;rVandebogart@democompany.com;
rLipitz;Richelle;Lipitz;Munich;Internal;Accounting_World;111;N;rLipitz@democompany.com;
rJohnson;Rikki;Johnson;Munich;Internal;Accounting_World;111;N;rJohnson@democompany.com;
rZuvich;Riley;Zuvich;Munich;Internal;Accounting_World;111;N;rZuvich@democompany.com;
rBatrez;Robert;Batrez;Munich;Internal;Accounting_World;111;N;rBatrez@democompany.com;
rKrill;Rory;Krill;Munich;Internal;Accounting_World;111;N;rKrill@democompany.com;
rMiller1;Rosaura;Miller;Munich;Internal;Accounting_World;111;N;rMiller1@democompany.com;
rAngier;Royal;Angier;Munich;Internal;Accounting_World;111;N;rAngier@democompany.com;
cBachelder;Cassey;Bachelder;Munich;Internal;AD-Manager;63;N;cBachelder@democompany.com;
cVillenas;Corrina;Villenas;Munich;Internal;AD-Manager;63;N;cVillenas@democompany.com;
fApril;Fredric;April;Munich;Internal;AD-Manager;63;N;fApril@democompany.com;
oGoffe;Olivid;Goffe;Munich;Internal;AD-Manager;63;N;oGoffe@democompany.com;
hSearby;Henry;Searby;Munich;Internal;AD-Manager;63;N;hSearby@democompany.com;
hZellers;Henry;Zellers;Munich;Internal;AD-Manager;63;N;hZellers@democompany.com;
iVandebogart;Issac;Vandebogart;Munich;Internal;AD-Manager;63;N;iVandebogart@democompany.com;
vJacquemin;Vesta;Jacquemin;Munich;Internal;AD-Manager;63;N;vJacquemin@democompany.com;
vHusenaj;Vesta;Husenaj;Munich;Internal;AD-Manager;63;N;vHusenaj@democompany.com;
jAndreen;Jarod;Andreen;Munich;Internal;AD-Manager;63;N;jAndreen@democompany.com;
jBradtke;Jarod;Bradtke;Munich;Internal;AD-Manager;63;N;jBradtke@democompany.com;
jBrookover;Jayne;Brookover;Munich;Internal;AD-Manager;63;N;jBrookover@democompany.com;
jWhitehead;Jude;Whitehead;Munich;Internal;AD-Manager;63;N;jWhitehead@democompany.com;
oKaton;Olivid;Katon;Munich;Internal;AD-Manager;63;N;oKaton@democompany.com;
kVirtue;Khadijah;Virtue;Munich;Internal;AD-Manager;63;N;kVirtue@democompany.com;
kPerham;Kins;Perham;Munich;Internal;AD-Manager;63;N;kPerham@democompany.com;
kBoardman;Kristine;Boardman;Munich;Internal;AD-Manager;63;N;kBoardman@democompany.com;
oKusch;Olivid;Kusch;Munich;Internal;AD-Manager;63;N;oKusch@democompany.com;
lBjork;Lee;Bjork;Munich;Internal;AD-Manager;63;N;lBjork@democompany.com;
lHitchman;Leslie;Hitchman;Munich;Internal;AD-Manager;63;N;lHitchman@democompany.com;
lSeagroves;Loreta;Seagroves;Munich;Internal;AD-Manager;63;Y;lSeagroves@democompany.com;149 356777
lRingland;Lupacchino;Ringland;Munich;Internal;AD-Manager;63;N;lRingland@democompany.com;
mBasco;Medal;Basco;Munich;Internal;AD-Manager;63;N;mBasco@democompany.com;
mPotter;Merlin;Potter;Munich;Internal;AD-Manager;63;N;mPotter@democompany.com;
oBuehlman;Otto;Buehlman;Munich;Internal;AD-Manager;63;N;oBuehlman@democompany.com;
pMihalek;Ping;Mihalek;Munich;Internal;AD-Manager;63;N;pMihalek@democompany.com;
pBibel;Priscilla;Bibel;Munich;Internal;AD-Manager;63;N;pBibel@democompany.com;
sLitalien;Shayne;Litalien;Munich;Internal;AD-Manager;63;N;sLitalien@democompany.com;
oTillberry;Olivid;Tillberry;Munich;Internal;AD-Manager;63;N;oTillberry@democompany.com;
aPate;Ara;Pate;Munich;Internal;Android;137;N;aPate@democompany.com;
aPerry;Austin;Perry;Munich;Internal;Android;137;N;aPerry@democompany.com;
cKinghorn;Charlene;Kinghorn;Munich;Internal;Android;137;N;cKinghorn@democompany.com;
